index,alpha,coeff,loss,baseline_loss,barrier
0,0.0,1.0,5.11291093826294,5.11291093826294,0.0
1,0.1111111111111111,0.8888888888888888,5.068021583557129,5.115115082453167,-0.04709349889603853
2,0.2222222222222222,0.7777777777777778,5.045370769500733,5.117319226643396,-0.07194845714266318
3,0.3333333333333333,0.6666666666666667,5.046367795126779,5.119523370833624,-0.07315557570684561
4,0.4444444444444444,0.5555555555555556,5.0584197453090125,5.121727515023853,-0.06330776971484031
5,0.5555555555555556,0.4444444444444444,5.0555221421378,5.12393165921408,-0.06840951707627951
6,0.6666666666666666,0.33333333333333337,5.041448974609375,5.126135803404308,-0.08468682879493272
7,0.7777777777777778,0.2222222222222222,5.044123990195138,5.128339947594537,-0.08421595739939836
8,0.8888888888888888,0.11111111111111116,5.075360093797956,5.130544091784765,-0.055183997986809175
9,1.0,0.0,5.132748235974993,5.132748235974993,0.0
